time,latitude,longitude,depth,mag,net
2014-04-05T13:24:51.784Z,36.4311,-117.0502,2,1.39,nn
2014-04-05T13:22:33.400Z,18.6044,-67.0848,72,2.6,pr
2014-04-05T13:20:01.000Z,63.2533,-150.292,84.2,1.7,ak
2014-04-05T13:15:44.800Z,38.7725,-122.7178,2.9,0.9,nc
2014-04-05T13:14:17.700Z,38.7925,-122.7577,2,0.5,nc
2014-04-05T13:11:00.000Z,63.2435,-150.3929,100,1.6,ak
2014-04-05T13:02:29.000Z,61.7838,-150.317,100,1.6,ak
2014-04-05T12:45:42.000Z,66.2159,-150.0374,7,1.8,ak
2014-04-05T12:42:17.100Z,36.1333,-97.6333,2.54,3.8,us
2014-04-05T12:21:39.000Z,59.0431,-152.8262,100,2.7,ak
2014-04-05T12:21:23.600Z,40.383,-121.5383,9.1,1.9,nc
2014-04-05T12:19:23.000Z,63.4871,-150.8183,5.9,1.7,ak
2014-04-05T12:09:53.000Z,38.79,-122.706,3.1,1.1,nc
2014-04-05T12:02:24.300Z,19.3933,-155.2798,2.3,1.9,hv
2014-04-05T12:00:42.300Z,34.1315,-118.4977,6.9,1.1,ci
2014-04-05T11:58:25.750Z,-20.3086,-70.7924,10,4.6,us
2014-04-05T11:36:33.900Z,46.6018,-119.85,6.7,0.6,uw
2014-04-05T11:30:32.000Z,63.1917,-147.6763,0.2,0.9,ak
2014-04-05T11:26:18.400Z,46.6037,-119.853,7,1,uw
2014-04-05T11:25:59.700Z,38.843,-122.8397,2.4,0.9,nc
2014-04-05T11:14:32.000Z,63.2551,-151.1222,11.5,1.6,ak
2014-04-05T11:11:39.300Z,38.8363,-122.7977,3.1,0.7,nc
2014-04-05T10:58:09.020Z,38.8391685,-122.796669,2.84,0.89,nc
2014-04-05T10:54:56.100Z,36.0814,-97.5478,6.02,2.9,us
2014-04-05T10:37:28.500Z,38.8307,-122.8097,2.5,0.8,nc
2014-04-05T10:37:07.100Z,38.8297,-122.8083,2.6,0.9,nc
2014-04-05T10:24:46.240Z,38.8543,17.2456,57.54,4.9,us
2014-04-05T10:22:04.200Z,48.6387,-123.0157,20.7,0.3,uw
2014-04-05T09:57:53.500Z,33.969,-117.0727,15.7,1.3,ci
2014-04-05T09:56:41.300Z,47.5583,-123.1982,8.6,-0.2,uw
2014-04-05T09:56:35.700Z,33.2735,-116.2445,7.1,1.1,ci
2014-04-05T09:38:22.000Z,61.0615,-151.8645,100,2.3,ak
2014-04-05T09:09:58.730Z,38.8198318,-122.8286667,3,0.19,nc
2014-04-05T08:44:37.390Z,36.5951653,-121.0895004,6.39,0.56,nc
2014-04-05T08:28:14.900Z,38.8317,-122.8083,3,0.4,nc
2014-04-05T08:27:40.800Z,38.834,-122.8075,2.6,0.4,nc
2014-04-05T08:16:32.130Z,-20.2812,-70.0473,49.77,4.6,us
2014-04-05T08:09:05.000Z,61.6957,-150.6404,27.8,1.8,ak
2014-04-05T08:07:28.700Z,18.4029,-66.9414,135,3,pr
2014-04-05T08:02:37.380Z,55.838,161.6713,79.32,4.4,us
2014-04-05T07:55:00.642Z,39.2403,-120.1886,16,0.6,nn
2014-04-05T07:54:19.260Z,-19.9381,-70.822,12.51,4.7,us
2014-04-05T07:36:15.200Z,34.1108,-118.4852,8.3,1.2,ci
2014-04-05T07:27:04.070Z,38.8236656,-122.791832,3.48,1.73,nc
2014-04-05T07:09:23.800Z,33.9277,-117.9093,1.6,1.5,ci
2014-04-05T07:01:28.100Z,-20.2746,-70.2843,36.02,4.6,us
2014-04-05T06:40:25.000Z,34.503,-116.52,6.9,1.9,ci
2014-04-05T06:32:09.390Z,-20.0895,-70.91,9.87,4.8,us
2014-04-05T06:30:45.100Z,36.0215,-117.7778,2.3,1.3,ci
2014-04-05T06:23:34.000Z,57.7591,-155.2984,43.4,2,ak
2014-04-05T06:01:50.560Z,35.8921,-97.25,7.94,2.6,us
2014-04-05T05:44:55.880Z,-20.1306,-70.4447,19.02,5.3,us
2014-04-05T05:44:38.700Z,38.781,-122.7217,2.4,1.5,nc
2014-04-05T05:40:50.400Z,32.9268,-116.2537,12.7,1.4,ci
2014-04-05T05:32:26.200Z,33.9485,-117.9203,6.1,1.2,ci
2014-04-05T05:28:57.470Z,-20.6316,-70.6905,17.74,4.7,us
2014-04-05T05:21:53.000Z,63.3199,-151.7371,1.4,1.9,ak
2014-04-05T05:17:12.540Z,36.5872,-97.607,2.75,2.5,us
2014-04-05T05:15:16.900Z,38.7998,-122.7348,1.8,0.4,nc
2014-04-05T04:57:32.000Z,19.326,-155.1318,2.7,2.3,hv
2014-04-05T04:45:54.000Z,63.2413,-150.6647,10.3,1.5,ak
2014-04-05T04:41:04.500Z,-20.5907,-71.0335,6.66,4.1,us
2014-04-05T04:32:06.200Z,36.0135,-117.5308,6.9,1.1,ci
2014-04-05T04:08:58.050Z,-20.6717,-70.4965,32.5,5,us
2014-04-05T04:08:41.700Z,34.1682,-116.1438,0.1,1.6,ci
2014-04-05T04:05:03.230Z,-20.7813,-70.6858,22.93,4.8,us
2014-04-05T04:04:34.400Z,18.8094,-64.4391,59,3.2,pr
2014-04-05T04:03:47.800Z,45.163,-122.3137,15.6,1.6,uw
2014-04-05T03:42:21.400Z,37.618,-118.9183,3.8,0.9,nc
2014-04-05T03:34:37.980Z,-3.8152,142.0051,62.59,5.2,us
2014-04-05T03:32:27.690Z,38.8348351,-122.8088303,2.89,1.21,nc
2014-04-05T03:22:20.000Z,63.0993,-150.4416,40,1.4,ak
2014-04-05T03:19:20.560Z,47.1561,147.4259,302.48,4.7,us
2014-04-05T03:06:13.000Z,61.2746,-148.1846,31.2,2.5,ak
2014-04-05T03:04:26.000Z,63.4477,-149.5811,100,1.3,ak
2014-04-05T02:52:28.100Z,34.1708,-116.1432,0.1,1.8,ci
2014-04-05T02:48:47.400Z,48.6082,-125.1495,30.5,1.3,uw
2014-04-05T02:48:08.500Z,37.5922,-118.813,10.5,1,nc
2014-04-05T02:30:53.990Z,36.2835,-97.5463,5,3,us
2014-04-05T02:28:41.500Z,38.8188,-122.7923,4.2,0.4,nc
2014-04-05T02:28:30.700Z,38.8307,-122.8702,3.3,0.5,nc
2014-04-05T02:22:38.940Z,-32.6995,-71.3783,32.17,5.4,us
2014-04-05T02:17:28.700Z,34.1742,-116.1373,1.2,1.8,ci
2014-04-05T02:17:18.550Z,-19.9177,-71.2052,20.07,4.3,us
2014-04-05T02:15:16.000Z,63.5381,-148.9776,0.2,2.2,ak
2014-04-05T02:05:45.310Z,-19.9752,-71.0773,15.9,4.3,us
2014-04-05T01:57:05.700Z,38.8427,-122.8287,2.5,1.1,nc
2014-04-05T01:56:38.460Z,36.3437,-96.9921,5,2.2,us
2014-04-05T01:51:33.500Z,34.2608,-117.5255,7.6,1.6,ci
2014-04-05T01:36:11.510Z,-19.7433,-70.9854,16.01,4.2,us
2014-04-05T01:22:42.900Z,38.8133,-122.814,3.2,1.7,nc
2014-04-05T01:18:25.000Z,59.8674,-152.1743,25.7,1.9,ak
2014-04-05T01:16:20.230Z,39.2193,142.4378,42.56,5.3,us
2014-04-05T01:15:33.000Z,60.0457,-141.0894,0,1.6,ak
2014-04-05T01:14:34.000Z,17.9183,-66.7526,5,2.3,pr
2014-04-05T01:12:52.600Z,33.977,-116.3217,5,1.3,ci
2014-04-05T01:07:01.600Z,38.8157,-122.8127,3.2,0.4,nc
2014-04-05T01:03:35.430Z,-20.0226,-70.9339,11.84,4.4,us
2014-04-05T00:58:05.480Z,36.6730003,-121.1653366,7.37,0.86,nc
2014-04-05T00:55:07.000Z,63.0045,-150.3191,67.1,1.2,ak
2014-04-05T00:52:32.200Z,42.0053,-122.1067,14.2,1.8,uw
2014-04-05T00:46:57.000Z,58.8355,-152.9742,66,3.2,ak
2014-04-05T00:43:36.900Z,47.4948,-120.2933,0,1.9,uw
2014-04-05T00:36:38.100Z,38.8205,-122.8102,3.5,0.9,nc
